sample-id	location	zone	station	environment	filter
EB356	east_lombok	core_zone	gili_sulat_1	sea_water	12_µm
EB357	east_lombok	core_zone	gili_sulat_1	sediment	0.4_µm
EB358	east_lombok	core_zone	gili_sulat_1	sediment	12_µm
EB359	east_lombok	sustainable_zone	gili_sulat_2	sea_water	0.4_µm
EB360	east_lombok	sustainable_zone	gili_sulat_2	sea_water	12_µm
EB361	east_lombok	sustainable_zone	gili_sulat_2	sediment	0.4_µm
EB362	east_lombok	sustainable_zone	gili_sulat_2	sediment	12_µm
EB363	east_lombok	sustainable_zone	gili_sulat_3	sea_water	0.4_µm
EB364	east_lombok	sustainable_zone	gili_sulat_3	sea_water	12_µm
EB365	east_lombok	sustainable_zone	gili_sulat_3	sediment	0.4_µm
EB366	east_lombok	sustainable_zone	gili_sulat_3	sediment	12_µm
EB367	east_lombok	core_zone	gili_lawang	sea_water	0.4_µm
EB368	east_lombok	core_zone	gili_lawang	sea_water	12_µm
EB369	east_lombok	core_zone	gili_lawang	sediment	0.4_µm
EB370	east_lombok	core_zone	gili_lawang	sediment	12_µm
EB371	east_lombok	non_conservation	gili_petagan	sea_water	0.4_µm
EB372	east_lombok	non_conservation	gili_petagan	sediment	0.4_µm
EB373	east_lombok	non_conservation	gili_petagan	sediment	12_µm
EB374	east_lombok	non_conservation	gili_kondo	sea_water	0.4_µm
EB375	east_lombok	non_conservation	gili_kondo	sediment	0.4_µm
EB376	east_lombok	non_conservation	gili_kondo	sediment	12_µm
EB377	west_lombok	core_zone	gili_nanggu	sediment	0.4_µm
EB378	west_lombok	non_conservation	bunutan_1	sediment	0.4_µm
EB379	west_lombok	core_zone	gili_rengit	sediment	0.4_µm
EB380	west_lombok	sustainable_zone	gili_golek	sediment	0.4_µm
EB381	west_lombok	sustainable_zone	gili_golek	sediment	12_µm
EB382	west_lombok	sustainable_zone	gili_gede	sea_water	0.4_µm
EB383	west_lombok	sustainable_zone	gili_gede	sediment	0.4_µm
EB384	north_lombok	core_zone	gili_trawangan_1	sea_water	0.4_µm
EB385	north_lombok	core_zone	gili_trawangan_1	sea_water	12_µm
EB386	north_lombok	core_zone	gili_trawangan_1	sediment	0.4_µm
EB387	north_lombok	core_zone	gili_trawangan_1	sediment	12_µm
EB388	north_lombok	sustainable_zone	gili_trawangan_2	sea_water	0.4_µm
EB389	north_lombok	sustainable_zone	gili_trawangan_2	sea_water	12_µm
EB390	north_lombok	sustainable_zone	gili_trawangan_2	sediment	0.4_µm
EB391	north_lombok	sustainable_zone	gili_trawangan_2	sediment	12_µm
EB392	north_lombok	sustainable_zone	gili_meno	sea_water	0.4_µm
EB393	north_lombok	sustainable_zone	gili_meno	sea_water	12_µm
EB394	north_lombok	sustainable_zone	gili_meno	sediment	0.4_µm
EB395	north_lombok	sustainable_zone	gili_meno	sediment	12_µm
EB396	north_lombok	core_zone	gili_air	sea_water	0.4_µm
